,Tweets
0,"RT @SwickSpeak: Retired Americans living off their 401K, 457K, and IRA accounts now have seen about a 28% drop in their net worth due to th…"
1,RT @momsbsm1: Another response I needed to retweet! Our lives are not worth our jobs!!!! We need to start working to live! NOT LIVING TO WO…
2,"RT @issaburnerpal: love is a verb, that exists only in loving actions and not passive feelings. 

life isn’t really worth living if we don’…"
3,"RT @InadeBree: ‘…and if I say that the greatest good of a man is daily to converse about virtue, (…) and that the life which is unexamined…"
4,"RT @baharasadipour: All in all, thank you for reminding us what a beautiful nation we are, taking back our dignity with the most peaceful s…"
5,"RT @mac123_m: A nations worth should not be measured by flags, trumpets, pomp &amp; circumstance. 

A nations worth should be measured by the w…"
6,"RT @allyally505: @genlaflare americans who don’t have any type of ties to Mexico, and are not contributing to their economy at all. if they…"
7,"RT @Daddy_Ssandy: Being on twitter and chasing shit chasing subs, money, connections or whatever- it's just not worth it

I'm living my bes…"
8,"RT @Inna_Hengari: “I've devoted my life to see equality for blacks, and at the same time, I've denied the needs of my family. Please unders…"
9,RT @philosophytweet: “The unexamined life is not worth living” – Socrates
10,"RT @sukhvin50992233: The unexamined life is not worth living.
#ShehnaazGill 
#SidharthShukIa 
 #3YearsOfSidNaaz"
11,"RT @mindsetofphilos: “The unexamined life is not worth living.”
― Socrates"
12,"RT @Mirwaiskk: Sometimes letting go and forgiving can be very liberating. 
Holding on to toxic memories and traumas drain all the energy. I…"
13,"RT @GurjitkaurP: “I know you can't live on hope alone. But without hope, life is not worth living. So you, and you and you: You got to give…"
14,"RT @MistaChika: Peter Obi has been deliberate about his life choices for someone who had no initial plan to be a politician.

He prepared h…"
15,"RT @cmpuls3: Victory Lap is one of our best shows ever. We are doing some really great stuff at DPW and I’m very proud of it

It’s definite…"
16,"RT @UmarAlam02: The unexamined life is not worth living."" 

VOTE FOR UMER AALAM 
 #UmerAalam #UmerHolics"
17,"RT @lonesomefren: mi dont understand why some people are afraid of failing at new things. everything you try in life, every story and memor…"
18,"RT @foreverluv1227: An unexamined life is not worth living. #3YearsOfSidNaaz
#SidharthShukla
#ShehnaazGill
#SidNaaz"
19,"RT @Dsylxia: Weak and foolish men desire slavery in the heart of their women; because they do not, and cannot know, that a woman in love wi…"
20,"RT @RealEBJohnson: “The unexamined life is not worth living.”  ― Socrates 

(image by mstandret) https://t.co/7QscwBATzU"
21,"RT @_praiseking: @g_makuachukwu3 @officialABAT An enabling environment?
An environment that reeks of drugs, incompetency, Parkinson's, corr…"
22,RT @thomasyanushon4: @kenyladyde It's not worth it and the American people and the country is not ready for it either these people must be…
23,"RT @SKAFROZAHMED3: An unexamined life is not worth living

MKJW LOVES MUNAWAR"
24,RT @Robertveitch9: @gretchenwhitmer Unlike Whitmer millions of Michiganders are being pushed into poverty by the Dem party. Her net worth h…
25,RT @MzRowdy22: I’m not bout to apologize for being me and living in my sexuality if it makes you uncomfortable unfollow or block me this sh…
26,"RT @SAKabirIsGOD: #GodMorningTuesday

The Way Of Living Book 📚 is worth keeping in every house. Untimely death will not happen to the devot…"
27,"RT @offlinehoon: An unexamined life is not worth living
Asfah..

MKJW LOVES MUNAWAR"
