,Tweets
0,RT @QasimRashid: Kalief Browder died by suicide after he was wrongfully imprisoned on Rikers for 3 years on the false accusation that he st…
1,"RT @DeanXfois: Le gars a écrit dans son bouquin qu'il observait sa fille prendre son bain, c'est passé entre les mains d'un agent, d'un édi…"
2,RT @IASPinfo: Suicide is not a comfortable subject to talk about. You can #BeTheLight.
3,RT @davidhogg111: RT this if you know someone who has died by gun violence or gun suicide.
4,"RT @GeorgeTakei: Because, of course they did. https://t.co/ES18zZzMhf"
5,RT @normboy562: If the #Grubs of the LNP are queuing up to commit suicide because a federal ICAC will weed out the festering rats and thiev…
6,"RT @Lauriemac916: @dellcam The organizer separated them by Gender.
Made girls listen to this👇😡
“They talked about rape (and) forgiving the…"
7,"RT @greenteaXbeetle: Suicide Prevention, please just be kind to the people around you, I want to put this out there because I just lost som…"
8,"RT @AfricanHub_: The Story Of Attah Ameh Oboni the Nigerian King who Chose Suicide Instead of Bowing to the Queen of England.

Attah Ameh O…"
9,"RT @RepJayapal: September is Suicide Prevention Month.

As we continue the necessary work to finally guarantee mental health services to al…"
10,"RT @heyhoneyrae: if suicide has ever crossed your mind and you’re still here, i love you. you’re so strong and beautiful. the world is bett…"
11,RT @IASPinfo: Preventing suicide requires us to speak openly about suicide. You can #BeTheLight.
12,"RT @seanzjay: @TheMattWain He's describing a revenge fantasy here rather than a suicide wish. 

Note that it's Jennie Formby's balcony - so…"
13,RT @GracieNunyabiz: September is #SuicidePrevention month. I recently lost someone to suicide. It’s a loss that evokes a rollercoaster of p…
14,"RT @Partisangirl: Mahsa Amini “died in custody” of a heart attack. Iranian Police released the CCTV footage of her collapse. 

She was a 22…"
15,RT @adil2267: Depression is real. Suicide is real. Mental health is real. Always check up on people you love.
16,"RT @Brevesdepresse: ⚡🇫🇷FLASH - Il y a 7 ans, 2 magistrates ont falsifié un document qui a envoyé un homme en prison, où il s'est suicidé. M…"
17,"RT @JakeRudh: On this day in 1990, #INXS released their seventh studio album “X” featuring singles “Suicide Blonde"" “Disappear"" “By My Side…"
18,RT @joongpih: Bro I'm in total pain i'm losing my shit rn it's been 20 years of pain &amp; suicide thoughts. It's been 20 years of loneliness &amp;…
19,RT @davenewworld_2: 3 pedophile cops in Massachusetts engaged in the abuse of a 13-year-old girl who committed suicide years later. They ha…
20,"RT @sonosempreioooo: now that halil abi had the brilliant idea of ​​burning ekim's house and committing suicide, neşe ekim where will they…"
21,RT @aphm_actu: #ALERTE #EMPLOI 🏥🔎 Nous recrutons 1 CHARGÉ(E) DE RÉSEAU à 100% pour notre Pôle de Psychiatrie (Numéro national de prévention…
22,"RT @HelpforHeroes: We’re on a mission to create suicide-safer communities for veterans.

Our free online #SuicideAwareness Training will ar…"
23,RT @SLCITYPunks: THANK YOU to all those who donated to support the @slcitypunks team in today’s STL area @afspnational #outofthedarknesswal…
24,"RT @internetgutz: i’ve been feeling so depressed too, suicide postponed!"
25,RT @The_NewArab: One soldier was killed and at least six others injured in Somalia on Sunday when a suicide bomber blew himself up at a mil…
26,RT @dateIuvr: you would not congratulate a suicidal person for a suicide attempt so why would you think it’s okay to congratulate someone o…
27,"RT @HEALCalifornia: “The 988 system builds on the National Suicide Prevention Lifeline... The line is designed to work like 911, but will c…"
28,"RT @HappySi79054951: WHY DOES DALIT COMMUNITY CONSIDER "" POONA PACT"": A GANDHIAN BETRAYAL ?

It is said that Baba Sahab Ambedkar was crying…"
29,RT @Dobs2448: My nephews son. Chase (Kendall) Shaw 03/13/98 - 09/12/22 : suicide #22aDay R.I.P. Chase https://t.co/PSaDTEKfd3
30,"RT @3dadswalking: Sign our petition pls
We need to smash the stigma about suicide, we must talk openly &amp; safely about this challenging topi…"
31,"RT @RonniSalt: What a great pity @SenatorHume you stoop to abusing suicide as a political weapon

A bigger pity you didn't have the same co…"
32,"RT @TheSamirAbbas: 'PWD की JE मांगती थी पैसे, कहा- बर्बाद कर दूंगी घर, मुंह नहीं दिखा पाओगे'

लखनऊ के ठेकेदार के सुसाइड नोट में खुलासा http…"
33,RT @ThulrVO: How about we all stream Suicide Squad in perpetuity on HBO as a message and push? Stream it endlessly. Whether you're actually…
34,"RT @EichinChangLim: ♥️HOPE! September is Suicide Prevention Awareness Month!

➡️ https://t.co/6AKZ6FygK8 
via @YouTube

#MentalHealthMatter…"
35,RT @JakeTiggy: @EnnexTheFox @crazybman @FurFest Depression. Thoughts of suicide. Seeing the fandom being divided and then having the one th…
36,"RT @NigeriaStories: The Story Of Attah Ameh Oboni - the Nigerian King who Chose Suicide Instead of Bowing to the Queen of England.

A threa…"
37,"RT @yaabitha: Mental health. Suicide. Depression. Heartbreaks. 

Not talked about enough"
38,"RT @Zer0Suicide: #FeedbackFriday

It's great to hear that our FREE online #SuicideAwareness training supports people to have confidence to…"
39,"RT @AnupSubedee: Could two followers please copy and re-post this tweet? 
I'm trying to demonstrate that someone is always there, especiall…"
40,"RT @Jerlockx: We all know mori is evil, sick, and twisted. We saw the yosano flashback. But I'm getting tired of ppl in the fandom taking s…"
41,RT @cricketaakash: Spirit of the game committed suicide 🫣 English team had the time to process what happened and to decide if they should t…
42,RT @AJEnglish: One soldier was killed and at least six others were wounded when a suicide bomber blew himself up at a military base near So…
43,"RT @PCarterClimate: CARBON CLIMATE CRAZINESS
Mauna Loa Atmospheric CO2 has reached 419.15 ppm (August) (seasonally adjusted mean). 
Increas…"
44,RT @121ARW: September is Suicide Prevention Month. Recognize the risk factors and warning signs to help those in difficult situations. Reme…
45,RT @soukokuquotes: The one I trusted as a partner and protected as a boss committed suicide without saying a word to me.
46,RT @ItsHopeLowie: Ils parlent de suicide identitaire et culturel mais la seule chose qu’ils connaissent de leur culture C la soupe et les é…
